Student ,Reponses
1,"75 + 5p >= 386. I got p >= 62.2, so I rounded up to 63 pies. Selling exactly 62 pies will not be enough money."
2,"75 + 5p >= 386. 5p >= 311. p >= 311/5 = 62.2. So, p >= 62. Check: 75 + 5*62 = 385. Yes, they have enough."
3,5p >= 386. p >= 386/5 = 77.2. They need at least 78 pies. 62 pies is not enough because 62 is smaller than 78.
4,75 + 5p >= 386. 5p >= 311. p >= 311*5 = 1555 pies. Check: 75 + 5(62) = 385. They don't have enough because 385 is less than 1555.
5,75 + 5p >= 386. 5p >= 386 - 75 = 311. so p >= 311/5 = 62.2. so p >= 63 pies. 62 pies is not enough because they need 63 or more
6,"75 + 5p >= 386. Then 5p >= 386 - 75 = 311, so p >= 311/5 = 62.2, so p >= 63 pies. Therefore 62 pies does not meet the requirement."
7,"75 + 5p >= 386. 5p >= 386 - 75 = 311. p >= 311 ÷ 5 = 62.2. They have to sell 63 or more pies. Check: 75 + 5(62) = 385. 62 pies does not reach 386 dollars, so they need at least 63."
8,5p >= 386. p >= 386/5 = 77.2. They need at least 78 pies. 62 pies is not enough because 62 is smaller than 78.
9,5p >= 386. p >= 386/5 = 77.2. So they need at least 78 pies. 62 pies is not enough because 62 is smaller than 78.
10,75 + 5p >= 386. 5p >= 386 - 75 = 311. p >= 311/5 = 62.2. so p >= 63 pies. Therefore 62 pies does not meet the requirement.
11,"75 + 5p >= 386. 5p >= 386 - 75 = 311. p >= 311/5 = 62.2. Since you can't sell a fraction of a pie, so p must be 63 or more. Check: 75 + 5(62) = 385. Selling exactly 62 pies is not enough. They need 63 or more pies to pay for the trip."
12,5p >= 386. p >= 386/5 = 77.2. So they need at least 78 pies. 62 pies is not enough because 62 is smaller than 78.
13,"75 + 5p >= 386. 75 + 5p >= 386 -> 5p >= 386 - 75 = 311. p >= 311 ÷ 5 = 62.2. They have to sell 63 or more pies. Check: 75 + 5(62) = 385. 385 is less than 386, so 62 pies is not enough. They must sell at least 63 pies."
14,"75 + 5p >= 386. 5p >= 386 - 75. 5p >= 311. p >= 311 ÷ 5 = 62.2. Since you can't sell 0.2 of a pie, they need at least 63 pies. Check: 75 + 5(62) = 385. 385 is less than 386, so 62 pies is not enough."
15,"75 + 5p >= 386. 75 + 5p - 75 >= 386 - 75, so 5p >= 311. p >= 311/5 = 62.2. Round up to 63 pies. Check: 75 + 5(62) = 385. Since 385 < 386, 62 pies is not enough."
16,"75 + 5p >= 386. 386 - 75 = 326, 5p >= 326. p >= 326/5 = 65.2. So they need about 66 pies. Check: 75 + 5(62) = 385. 385 is really close to 386, so 62 pies is enough."
17,"75 + 5p >= 386. 5p >= 386 - 75. 5p >= 311. p >= 311/5. p >= 62.2. They have to sell 63 or more pies. Check: 75 + 5(62) = 385. 62 pies does not reach 386 dollars, so they need at least 63."
